multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio
51,BB8986,2023-04-18,08:03,90.0,80,RUTA 9,R02,IMPAGA,10.0,6.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
497,BB8986,1932-01-01,14:16,150.0,80,AV SIEMPRE VIVA,R02,IMPAGA,70.0,66.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
636,BB8986,1932-01-01,00:00,101.0,60,RUTA 9,R03,ERROR,41.0,38.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
765,BB8986,1932-01-01,08:28,97.0,40,AV SIEMPRE VIVA,,IMPAGA,57.0,55.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
784,BB8986,1932-01-01,18:36,82.0,60,RUTA 9,R02,IMPAGA,22.0,19.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
882,BB8986,1932-01-01,14:32,124.0,80,AV LIBERTADOR,R01,APELADA,44.0,40.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
977,BB8986,2022-03-14,00:00,81.0,60,RUTA 9,R02,PAGADA,21.0,18.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
1149,BB8986,2020-03-05,00:00,73.0,60,RUTA 9,,ERROR,13.0,10.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
1203,BB8986,1932-01-01,00:00,104.0,60,AV LIBERTADOR,R01,APELADA,44.0,41.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
1437,BB8986,1932-01-01,00:00,102.0,80,AV LIBERTADOR,R03,PAGADA,22.0,18.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
1939,BB8986,1932-01-01,19:21,101.0,60,RUTA 9,,ERROR,41.0,38.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
1990,BB8986,1932-01-01,00:00,121.0,80,AV SIEMPRE VIVA,,ERROR,41.0,37.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
2107,BB8986,1932-01-01,00:00,91.0,80,RUTA 9,R02,APELADA,11.0,7.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
2170,BB8986,2023-05-07,09:29,97.0,80,AV LIBERTADOR,R02,APELADA,17.0,13.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
2492,BB8986,1932-01-01,19:47,115.0,40,RUTA 9,R01,ERROR,75.0,73.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
2607,BB8986,2022-05-25,00:00,127.0,80,AV LIBERTADOR,R03,ERROR,47.0,43.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
2756,BB8986,2024-01-01,15:37,104.0,40,AV LIBERTADOR,R03,PAGADA,64.0,62.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
2760,BB8986,1932-01-01,00:00,66.0,40,RUTA 9,,IMPAGA,26.0,24.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
2782,BB8986,1932-01-01,19:59,78.0,60,AV LIBERTADOR,,ERROR,18.0,15.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
2821,BB8986,1932-01-01,00:00,62.0,40,AV LIBERTADOR,R02,IMPAGA,22.0,20.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
2934,BB8986,2020-12-11,00:00,96.0,80,AV LIBERTADOR,R02,ERROR,16.0,12.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
